date,people_employed
01-01-1978,5985.7
01-02-1978,6040.6
01-03-1978,6054.2
01-04-1978,6038.3
01-05-1978,6031.3
01-06-1978,6036.1
01-07-1978,6005.4
01-08-1978,6024.3
01-09-1978,6045.9
01-10-1978,6033.8
01-11-1978,6125.4
01-12-1978,5971.3
01-01-1979,6050.7
01-02-1979,6096.2
01-03-1979,6087.7
01-04-1979,6075.6
01-05-1979,6095.7
01-06-1979,6103.9
01-07-1979,6078.5
01-08-1979,6157.8
01-09-1979,6164
01-10-1979,6188.8
01-11-1979,6257.2
01-12-1979,6112.9
01-01-1980,6207.2
01-02-1980,6278.7
01-03-1980,6224.9
01-04-1980,6273.4
01-05-1980,6269.9
01-06-1980,6314.1
01-07-1980,6281.4
01-08-1980,6360
01-09-1980,6320.2
01-10-1980,6342
01-11-1980,6426.6
01-12-1980,6253
01-01-1981,6356.5
01-02-1981,6428.1
01-03-1981,6426.3
01-04-1981,6412.4
01-05-1981,6413.9
01-06-1981,6425.3
01-07-1981,6393.7
01-08-1981,6502.7
01-09-1981,6445.3
01-10-1981,6433.3
01-11-1981,6506.9
01-12-1981,6355.5
01-01-1982,6432.4
01-02-1982,6497.4
01-03-1982,6431.6
01-04-1982,6440.9
01-05-1982,6414.3
01-06-1982,6425.9
01-07-1982,6379.3
01-08-1982,6443.5
01-09-1982,6421.1
01-10-1982,6367
01-11-1982,6370.2
01-12-1982,6172.2
01-01-1983,6264.1
01-02-1983,6310.4
01-03-1983,6254.5
01-04-1983,6272.8
01-05-1983,6266.5
01-06-1983,6295
01-07-1983,6241.1
01-08-1983,6358.2
01-09-1983,6336.2
01-10-1983,6377.5
01-11-1983,6456.4
01-12-1983,6251.4
01-01-1984,6365.4
01-02-1984,6503.2
01-03-1984,6477.6
01-04-1984,6489.7
01-05-1984,6499
01-06-1984,6528.7
01-07-1984,6466.1
01-08-1984,6579.8
01-09-1984,6553.2
01-10-1984,6576.1
01-11-1984,6636
01-12-1984,6452.4
01-01-1985,6595.7
01-02-1985,6657.4
01-03-1985,6588.8
01-04-1985,6658
01-05-1985,6659.4
01-06-1985,6703.4
01-07-1985,6675.6
01-08-1985,6814.7
01-09-1985,6771.1
01-10-1985,6882
01-11-1985,6910.8
01-12-1985,6753.6
01-01-1986,6861.9
01-02-1986,6961.9
01-03-1986,6997.9
01-04-1986,6979
01-05-1986,7007.7
01-06-1986,6991.5
01-07-1986,6918.6
01-08-1986,7040.6
01-09-1986,7030.4
01-10-1986,7034.2
01-11-1986,7116.8
01-12-1986,6902.5
01-01-1987,7022.3
01-02-1987,7133.4
01-03-1987,7109.6
01-04-1987,7103.6
01-05-1987,7128.9
01-06-1987,7175.6
01-07-1987,7092.3
01-08-1987,7186.5
01-09-1987,7177.4
01-10-1987,7182.2
01-11-1987,7330.7
01-12-1987,7169.4
01-01-1988,7247.4
01-02-1988,7397.4
01-03-1988,7383.4
01-04-1988,7354.9
01-05-1988,7378.3
01-06-1988,7383.1
01-07-1988,7353.4
01-08-1988,7503.2
01-09-1988,7477.3
01-10-1988,7508.7
01-11-1988,7622.9
01-12-1988,7424.9
01-01-1989,7569.7
01-02-1989,7638.3
01-03-1989,7683.2
01-04-1989,7729.3
01-05-1989,7720.5
01-06-1989,7751.8
01-07-1989,7727.6
01-08-1989,7854.4
01-09-1989,7817.8
01-10-1989,7870.7
01-11-1989,7941.6
01-12-1989,7712.6
01-01-1990,7809.1
01-02-1990,7877.5
01-03-1990,7894.3
01-04-1990,7916.1
01-05-1990,7910
01-06-1990,7932.9
01-07-1990,7825
01-08-1990,7925.5
01-09-1990,7870.5
01-10-1990,7849.9
01-11-1990,7941.2
01-12-1990,7668.8
01-01-1991,7739.3
01-02-1991,7746.5
01-03-1991,7750.5
